id,title,uniform_title,alternative_title,creator,contributor,publication_place,publisher,publication_date,encoded_date,creation_date,copyright_date,edition,issuance,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,record_id,isbn,lccn,oclccn,url,depositor,collection_id
,"Alonzo and Melissa, or, The unfeeling father: an American tale",,Alonzo and Melissa|||Unfeeling father,"Mitchell, I. (Isaac), approximately 1759-1812","Jackson, Daniel, 1790-1848",Philadelphia :,"Claxton, Remsen and Haffelfinger,",1879.,1879||||||1879.,,,,monographic,English,text,print|||unmediated|||volume,252 pages ; 16 cm,Fiction|||Juvenile fiction|||Juvenile works|||novel|||text,,Youth|||Conduct of life|||Courtship|||Friendship|||Fathers and daughters|||Brothers and sisters|||Wealth|||Social classes|||Marriage,,,juvenile,8958203,,,ocm14768052,,,
,"alphabet, An",,,"Nicholson, William, 1872-1949",,New York,R.H. Russell,1898,1898,,,,monographic,English,text,print,"1 p.l., 26 col. pl. 44 cm.",,,English language|||Alphabet,,,,4365358,,18023207,ocm00543529,,,
,"alphabet of flowers, The",,,,,London,"Dean and Son, lithographers, printers, and book and print publishers, 31, Ludgate Hill|||Dean & Son",[1855?],[1855?]||||||1855,,,,monographic,English,text,print,"8 leaves, 4 p. of publisher's advertisements : col. ill. (wood engravings) ; 25 cm.",Juvenile poetry|||Pictorial works,,Flowers|||English language|||Alphabet,,,,4643998,,,ocm82308721,,,
,"Alphabet of lessons for children, An",,,,"Roberts, Robert, approximately 1821- (engraver)|||American Tract Society",United States],Published by the American Tract Society.,[not after 1848?],[not after 1848?]||||||1848,,,,monographic,English,text,print,"15, [1] p. : ill. ; 11 cm.",Specimens,,Sunday school literature|||Chapbooks,,United States,juvenile,7896479,,,ocm81092186,,,
,"Amaranth, or, Ttoken of remembrance: a Christmas and New Year's gift for 1854, The",,Amaranth|||Token of remembrance,"Percival, Emily",,Boston :,"Phillips, Sampson, and Company,|||Phillips, Sampson & Company",1854.,1854||||||1854.,,1853,,monographic,English,text,print|||unmediated|||volume,"288 pages, 7 unnumbered leaves of plates : illustrations ; 19 cm",Specimens|||text,,Gift books,,,,7713099,,,ocm54677386,,,
,"amateur fireman, An",,,"Otis, James, 1848-1912","Cary, William de la Montagne, 1840-1922 (ill)",New York,E.P. Dutton & Co.|||E.P. Dutton (Firm),©1898,©1898||||||1898,,,,monographic,English,text,print|||unmediated|||volume,"v, 324 pages, [9] leaves of plates : illustrations ; 21 cm",Fiction|||Juvenile fiction|||Juvenile works|||novel|||text,,Boys|||Conduct of life|||Homeless boys|||Shoe shiners|||Newspaper vendors|||Fire fighters|||Courage|||Arson|||Detective and mystery stories|||Rescues|||Heroes,,"United States, New York, New York",juvenile,8116821,,,ocm18811414,,,
,"American boy's book of sports and games: a repository of in-and-out-door amusements for boys and youth, The",,,,"Orr, Nathaniel.",New York,Dick & Fitzgerald,c1864⁾,c1864⁾||||||1864,,,,monographic,English,text,print,600 p. : ill. ; 20 cm.,,,Sports|||Juvenile literature|||Games,,United States,juvenile,1025573,,a 18001842,00616221,,,
,"American girl's book, or, Occupation for play hours, The",,,"Leslie, Eliza, 1787-1858",,New York,J. Miller,1866,1866,,,16th ed.,monographic,English,text,print,383 p. : ill. ; 16 cm.,,,Amusements|||Handicraft,,United States,juvenile,7110655,,,ocm11855672|||11855672,,,
,"American juvenile keepsake, for 1835, The",,,,"Hofland, (Barbara), Mrs, 1770-1844 (ed)",New York,T. Illman,c1834,c1834||||||1834,,,,monographic,English,text,print,"x, 250 p., [10] leaves of plates : ill. ; 16 cm.",,,Gift books,,,,7109704,,,ocm05276975,,,
,"American printer: a manual of topography, containing complete instructions for beginners, The",,,"Mackellar, Thomas, 1812-1899",,Philadelphia,Mackellar,1874,1874,,,9th ed.,monographic,English,text,print,336 p. front. illus. 20 cm.,,,Printing,,,,603734,,,08686235,,,
