id,title,uniform_title,alternative_title,enumeration_chronology,associated_name,publication_place,publisher,publication_date,start_date,end_date,edition,issuance,frequency,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,preceded_by,succeeded_by,issn,lccn,oclcn,url
8841325,"fables of Æsop and others, translated into human nature, The",Aesop's fables. Selections. English,,,"Bennett, Charles H. (Charles Henry), 1829-1867 (trl, edt)|||Swain, Joseph, 1820-1909 (egr)|||W. Kent and Co (pbl)|||Bradbury & Evans (prt)",London,W. Kent & Co.|||W. Kent and Co,[1857],,,,monographic,,English,text,print|||unmediated|||volume,"22 leaves, [23] leaves of plates : illustrations ; 26 cm",Adaptations|||Fables-1857|||Fiction|||Satires-1857|||short story|||text,,Fables|||Animals|||Characters and characteristics|||Conduct of life|||Aesop's fables,,"England, London",juvenile,,,,15002201,,http://books.google.com/books?id=j28AAAAAMAAJ|||http://www.archive.org/details/fablesofsopoth00benn
1036557,"fables of Aesop: as first printed by William Caxton in1484, with those of Avian, Alfonso and Poggio, The",Aesop's fables. English,,,,London,D. Nutt,1889,,,,monographic,,English,text,print,"2 v. : ill., front. ; 19 cm.",,,"Fables, Greek|||Translations into English|||Fables",,,,,,,30000088,,
1033436,"fables of Jean de La Fontaine, The",,,,"Thornbury, Walter, 1828-1876 (tr)|||Doré, Gustave, 1832-1883 (illus)",New York,Hurst,187-?⁾,1870,1879,The art ed.,monographic,,French|||English,text,print,557 p. : ill. ; 29 cm.,,,,,,,,,,,,
1033439,"fables of La Fontaine, The",Fables. English,,,,London|||New York,"Cassell, Petter and Galpin",[1873?],,,,monographic,,French|||English,text,print,"lxiv, 839 p. incl. front. (port.) illus.",Translations into English,,"Fables, French",,,,,,,,,
1034858,"Fables, selected from the works of Northcote, Bewick and others: Embellished with numerous engravings on wood",,,,,New York,"Leavitt, Trow",1848,,,,monographic,,English,text,print,251 p. ill. 17 cm.,,,,,,,,,,,,
997790,Fabulous histories: designed for the instruction of children respecting their treatment of animals,,The history of the robins,,"Francis, Charles, and John Rivington (publishers)|||Baldwin, Cradock, and Joy (publishers)",London,"Printed for F. C. and J. Rivington, No. 62, St. Paul'sChurch-Yard, and No. 3, Waterloo-Place, Pall-Mall; and Baldwin, Cradock, & Joy,47, Paternoster-Row|||Francis, Charles, and John Rivington|||Baldwin, Cradock, and Joy",1821,,,Eleventh ed.,monographic,,English,text,print,"iv, 168 p. ; 18 cm.",,,Animal welfare|||Juvenile fiction|||Conduct of life,,,juvenile,,,,,,
8541089,"face illumined, A",,,,,New York :,"P.F. Collier & Son,",[1878].,,,,monographic,,English,text,print|||unmediated|||volume,"521 pages, 1 unnumbered leaf of plates : 1 illustration ; 21 cm",text,,,,,,,,,,,
6864799,"Facts and fancies for school-day reading: a sequel to ""Morals of manners""",,,,,New York|||London,Wiley & Putnam,1848,,,,monographic,,English,text,print,"2 p. l., 216 p. front., pl. 15 x 11 cm.",,,Readers,,,,,,,a 33000705,,
4414231,Facts for boys and girls about boys and girls,,,,"Felter, John D. (egr)|||Carlton & Porter (pbl)|||Methodist Episcopal Church, Sunday School Union. (pbl)",New York,"Carlton & Porter|||Sunday-School Union|||Carlton & Porter|||Methodist Episcopal Church, Sunday School Union.",c1865,,,,monographic,,English,text,print,"284 p., [6] leaves of plates : ill. ; 16 cm.",Juvenile fiction|||novel,,Children|||Religious life|||Christian life|||Children's stories,,"United States, New York, New York",juvenile,,,,,,
1078457,Facts not fables,,,,,New York,"Nafis & Cornish, Piercy & Reed, Printers",1843,,,,monographic,,English,text,print,230 p. : ill. ; 15 cm,Juvenile literature|||Juvenile works,,Children|||Conduct of life|||Natural history,,,juvenile,,,,,,
7180494,"fair barbarian, A",,,,"James R. Osgood and Company (pbl)|||Rand, Avery & Co (prt, str)",Boston,J.R. Osgood and Company|||James R. Osgood and Company,1881 (,,,,monographic,,English,text,print,258 p. 18 cm.,Fiction,,Americans|||Villages,,England,,,,,06016428,,
8061896,"fair maid of Fez: a novel, The",,,,,New York,Street & Smith,©1898,,,,monographic,,English,text,print|||unmediated|||volume,206 pages ; 19 cm.,text,,,,,,,,,,,
6556421,Fairies of our garden,,,,,Boston,J.E. Tilton,1867,,,,monographic,,English,text,print,377 p. ; 19 cm.,,,"Children's stories|||Fairies|||Juvenile fiction|||Mythology|||Christian martyrs|||History|||Crawford, Thomas 1813 or 14-1857",,Spain|||Italy|||England,juvenile,,,,,,
1082483,"Fairing, or, Golden toy, The",,Golden toy,,,York,"Printed by T. Wilson and R. Spence, High-Ousegate",1805,,,,monographic,,English,text,print,84 p. : ill. (woodcuts) ; 11 cm.,,,Conduct of life|||Juvenile fiction|||Fairs|||Children's stories,,,juvenile,,,,,,
1019845,Fairy book: the best popular stories selected and rendered anew,,,,,New York,Harper & Brothers,[189-?],,,,monographic,,English,text,print|||unmediated|||volume,479 pages : illustrations ; 20 cm,text,,Fairy tales,,,juvenile,,,,,,
7896657,"fairy fish, The",,,,,London :,"R. March, 18, St. James' Walk,",[1877 or 1888],1877,1878,,monographic,,English,text,print|||unmediated|||volume,8 unnumbered pages : illustrations (woodcuts) ; 13 cm,Specimens|||text,,"Chapbooks, English|||Chapbooks",,,juvenile,,,,,,
1094153,"fairy gifts: and Tom Hickathrift, The",,Tom Hickathrift,,"Fell, Herbert Granville, 1872-1951 (ill)|||Bell, Robert Anning, 1863-1933 (egr)|||J.M. Dent & Co (pbl)|||Turnbull & Spears (prt)",London,J.M. Dent & Co.|||J.M. Dent & Co,1895,,,,monographic,,English,text,print,"60, [2] p., [1] leaf of plates : ill. ; 15 cm.",Children's stories-1895|||Juvenile fiction|||novel,,Children|||Conduct of life|||Children's stories,,"Scotland, Edinburgh|||England, London",juvenile,,,,,,
7232756,"fairy godmothers: and other tales, The",,,,,London,"George Bell, 186, Fleet Street",1851,,,,monographic,,English,text,print,"[6], 153, [1] p., [1] leaf of plates : ill. ; 19 cm.",Fairy tales|||Juvenile literature,,Conduct of life,,,juvenile,,,,,,
7690228,Fairy stories with a purpose,,Truths and fancies from fairy land,,,"London, etc",T. Nelson and sons,1871,,,,monographic,,English,text,print,"128 p., [3] leaves of plates : ill. ; 17 cm.",Juvenile fiction,,Fairy tales|||Conduct of life,,,juvenile,,,,,,
7897971,Fairy tales and legends of many nations,,Legends from fairyland,,,New York,James Miller,1873,,,,monographic,,English,text,print,302 p. : ill. ; 18 cm.,,,Fairy tales|||Legends,,,juvenile,,,,,,
1080420,Fairy tales and novels,,,,,London,Walker and Edwards,1817-,1817,9999,,monographic,,English,text,print,2 v. : ill. ; 15 cm.,,A collection of classic fairy tales.,Fairy tales,,,juvenile,,,,65072783,,
8201670,Fairy tales and stories,Tales. Selections. English,Andersen's fairy tales,,"Dulcken, H. W. (Henry William), 1832-1894 (tr)|||Bayes, Alfred Walter, 1832-1909 (ill)|||Dalziel Brothers (engraver)|||George Routledge and Sons (publisher)|||Armstrong & Co. (Boston, Mass.) (lithographer)",New York|||London and Manchester,"George Routledge & Sons, Limited, 27 and 29 West 23rd St.|||George Routledge and Sons",[187-?],,,,monographic,,Danish|||English,text,print,"vii, [2], 10-512 p., [10] leaves of plates : ill. (some col.) ; 21 cm.",Fairy tales-New York (State)-New York-1870|||Juvenile literature-New York (State)-New York-1870,,"Fairy tales|||Children's stories, Danish",,,juvenile,,,,,,
7233435,Fairy tales,,,,,London|||New York,"Routledge, Warne, and Routledge",1863,,,New ed. /,monographic,,French|||English,text,print,"xx, 620 p., [13] leaves of plates : ill. ; 19 cm.",,,Fairy tales,,,,,,,,,
1283552,Fairy tales far and near,,,,,New York,Frederick A. Stokes Company,1895,,,,monographic,,English,text,print,196 p. : ill. ; 19 cm.,,,Fairy tales,,,juvenile,,,,,,
1013293,Fairy tales from the far north,,,,,New York,"A. L. Burt Company, Publishers",1897⁾,,,,monographic,,Norwegian|||English,text,print,"vi, 285 1⁾ p. : ill. ; 19 cm.",,,Fairy tales,,Norway,juvenile,,,,,,
8991847,"fairy tales of Hans Christian Andersen, The",Tales. Selections. English,Hans Andersen's fairy tales,,"Andersen, H. C. (Hans Christian), 1805-1875 (author)|||Stratton, Helen (illustrator)|||Truslove, Hanson & Comba (publisher)",New York :,"Truslove, Hanson & Comba, Ltd.,|||Truslove, Hanson & Comba",1899.,,,,monographic,,English,text,print|||unmediated|||volume,"xvi, 320 pages : illustrations ; 28 cm",Translations|||Translations into English|||text,,"Children's stories, Danish|||Fairy tales",,,,,,,,,
7247104,"fairy tales of Hans Christian Andersen, The",Tales. English. Selections,Hans Andersen's fairy tales,,"Stratton, Helen. (ill)|||George Newnes, Limited (pbl)|||Butler & Tanner Ltd (prt)|||Selwood Printing Works (prt)",London],"George Newnes, Ld.|||George Newnes, Limited",1899,,,,monographic,,English,text,print,"xvi, 320 p. : ill. ; 28 cm.",Children's stories|||Fairy tales|||novel,,,,"England, Frome|||England, London",juvenile,,,,,,
7940960,Faith Gartney's girlhood,,,,,Boston,"Houghton, Mifflin and Co.",1885,,,12th ed.,monographic,,English,text,print|||unmediated|||volume,"348 pages frontispiece, plates 19 cm",text,,,,,,,,,,,
7896661,"faithful account of the last illness and death of her most gracious majesty, Queen Caroline: with the particulars of the procession, &c. &c, A",,,,Dean & Munday (publisher),London :,"Printed and sold by Dean and Munday, Threadneedle-Street,|||Dean & Munday",[1821?],,,Second edition.,monographic,,English,text,print|||unmediated|||volume,"26 pages, 1 unnumbered leaf of plates : 1 color illustration ; 18 cm",Specimens|||biography|||text,,"Death and burial|||Funeral rites and ceremonies|||Chapbooks, English|||Chapbooks|||Queen, consort of George IV, King of Great Britain Caroline 1768-1821",,England,,,,,,,
