,id,title,uniform_title,alternative_title,creator,contributor,publication_place,publisher,publication_date,encoded_date,creation_date,copyright_date,edition,issuance,frequency,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,isbn,lccn,oclccn,url
2744,8859757,We and the world: a book for boys,,,"Ewing, Juliana Horatia, 1841-1885","Jones, W. L. (illustrator.)|||Whymper, Josiah Wood, 1813-1903 (engraver.)|||Frank F. Lovell & Company (publisher.)",London,Frank F. Lovell & Company,[1891?],1891,,,,monographic,,eng,text,print|||unmediated|||volume,"282, [2] pages, [9] leaf of plates : illustrations ; 19 cm.",Fiction|||Juvenile fiction|||Juvenile works|||Publishers' advertisements-1891|||text,,Children|||Conduct of life|||Country life|||Friendship|||People with disabilities|||Seafaring life|||Sailing|||Adventure stories|||Voyages and travels,,,,,,ocm14370050,
2745,7940964,We girls: a home story,,,"Whitney, A. D. T. (Adeline Dutton Train), 1824-1906",,Boston,"Houghton, Mifflin","1884, ©1870",1884,,1870,28th ed.,monographic,,eng,text,print|||unmediated|||volume,215 pages : illustrations ; 19 cm.,text,,,,,,,,ocm06044552,
2746,7940962,We girls: a home story,,,"Whitney, A. D. T. (Adeline Dutton Train), 1824-1906",,Boston,"Fields, Osgood & Co.",1870,,,,,monographic,,eng,text,print|||unmediated|||volume,"iv, 215 pages frontispiece, illustrations 19 cm",text,,,,,,,8034318,ocm06492554,
2747,6827875,Wee babies picture book,,,,J. E. Hudson & Co (),Worcester,J. E. Hudson & Co.,187-?],187u,,,,monographic,,eng,text,print,[8] p. : ill. ; 11 cm.,,,Children's poetry|||Nursery rhymes,,,juvenile,,,ocm39370306,
2748,1030969,Wee babies,,,"Blanchard, Amy Ella, 1856-1926","Waugh, Ida, -1919 (illus.)",New York,"E. P. Dutton, etc., etc.⁾",c1882,1882,,,,monographic,,eng,text,print,48 p. : ill. ; 27 cm.,,,Children's poetry,,,juvenile,,15000243,2030559,
2749,8154111,"Wee Lucy: Little Prudy's ""Wee croodlin' doo""",,,"May, Sophie, 1833-1906",,Boston,Lee and Shepard|||Lee and Shepard,©1894,1894,,,,monographic,,eng,text,print|||unmediated|||volume,"164, [4] pages, [3] leaves of plates : illustrations ; 17 cm.",Family stories-1894|||Fiction|||Juvenile fiction|||Juvenile literature-1894|||Juvenile works|||Publishers' catalogues-1894|||novel|||text,,Children|||Conduct of life|||Brothers and sisters|||Aunts|||Play|||Imagination|||Christmas stories|||Santa ClausSanta Claus,,United States Massachusetts Boston,juvenile,,,ocm22455910,
2750,1030911,Wee wee songs for our little pets,,,"Lee, Leila, d. 1900",,New York,Blakeman & Mason,1859,,,,,monographic,,eng,text,print,"203 p. : ill., front. ; 17 cm.",,,,,,,,,13747850,
2751,7653539,Wee wifie: a novel,,,"Carey, Rosa Nouchette, 1840-1909",,New York,A.L. Burt,[189-?],189u,,,,monographic,,eng,text,print,350 p. ; 19 cm.,,,,,,,,,ocm12054632,
2752,8114415,"week's delight, or, Games and stories for the parlor and fireside, A",,Games and stories for the parlor and the fireside,"Higgins, Emily Mayer.",,New-York,D. Appleton & Co.,"1855, ©1853",1855,,1853,,monographic,,eng,text,print|||unmediated|||volume,"294, [6] pages, [4] leaves of plates : illustrations ; 19 cm",Juvenile literature|||Juvenile works|||text,,Children's stories|||Indoor games,,,juvenile,,,ocm12714833,
2753,7109714,"West India boys, The",,,"Tuthill, Cornelia L. (Cornelia Louisa), 1820-1870",,Philadelphia,American Sunday-School Union,c1863,1863,,,,monographic,,eng,text,print,143 p. : ill. ; 16 cm.,Juvenile fiction,,Christian life|||Child labor|||Pride and vanity,,,,,,ocm01495726,
