,id,title,uniform_title,alternative_title,enumeration_chronology,associated_name,publication_place,publisher,publication_date,start_date,end_date,edition,issuance,frequency,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,preceded_by,succeeded_by,issn,lccn,oclcn
41,545458,Motheroot journal,,,,,Pittsburgh,Motheroot Publications.,,1979,9999,,serial,Quarterly,eng,text,print,v. ill. 44 cm.,periodical|||review,,Books|||Reviews|||Periodicals|||Women|||Book reviews|||Small presses,,,,,,0739-5272,sn 82020180,
42,9247867,Motheroot journal: a women's review of small presses,,Motheroot journal,,,"Pittsburgh, Pennsylvania :","Motheroot Publications,",1978-,1978,uuuu,,serial,Quarterly,eng,text,electronic resource|||remote|||computer|||online resource,1 online resource (volumes) : illustrations.,Book reviews|||Periodicals|||Reviews|||periodical|||review|||text,,Books|||Women|||Small press books|||Reviews,,,,,,0739-5272,,
43,3955831,National Commission on the Observance of International Women's Year: [update],,,,,"Washington, D.C","The Commission, Office of Public Information.",,19uu,1978,,serial,Unknown,eng,text,print,v. ; 27 cm.,Periodicals|||periodical,,"International Women's Year, 1975|||Feminism|||International cooperation|||Women",,,,,,,,
44,541985,National NOW times: official journal of the National Organization for Women (NOW),,National National Organization for Women times,,,"Washington, DC",NOW,c1977-,1977,9999,,serial,"Three no. a year, 2002-|||Monthly, Dec. 1977-|||8 no. a year, <Jan./Feb. 1985- >|||Quarterly, <1996>-2001|||Three times a year",eng,text,print|||electronic resource|||remote,v. : ill. ; 44 cm.,Periodicals|||periodical,,Women|||FeminismNational Organization for Women,,,,Do it NOW (DLC)sn 86023269 (OCoLC)2319299,,0149-4740,sn 78004689,
45,5622787,National NOW times: official journal of the National Organization for Women (NOW),National NOW times (Online),Official journal of the National Organization for Women (NOW)|||National Organization for Women times,,,"Washington, D.C",NOW,,1977,9999,,serial,"Annual, 2009-|||Monthly, Dec. 1997-|||Eight issues per year, <Jan./Feb. 1985>-|||Five issues per year, <-1995>|||Quarterly, 1996-2001|||Three issues per year, 2002-2006|||Two issues a year, 2007-2008|||Annual",eng,text,electronic|||electronic resource|||remote|||computer|||online resource,,Electronic journals|||Periodicals|||text,,Women|||Feminism|||Women's StudiesNational Organization for Women|||National Organization for Women.,,,,Do it NOW,,0149-4740,,
46,553641,Network news,"Network news (Pittsburgh, Pa.)",,,,"Pittsburgh, Pa",The Network,,19uu,9999,,serial,Monthly (irregular)|||Monthly,eng,text,print,v. : ill. ; 43 cm.,periodical,,Feminism|||Periodicals|||Women,,,,,,,sn 85023935,
47,9248575,Network news,"Network news (Pittsburgh, Pa.)",,,Pittsburgh Feminist Network (issuing body),"Pittsburgh, Pennsylvania :","The Network,",1983-,1983,uuuu,,serial,Monthly (irregular)|||Monthly,eng,text,electronic resource|||remote|||computer|||online resource,1 online resource (volumes) : illustrations.,Periodicals|||periodical|||text,,Feminism|||Women,,,,,,,,
48,550670,"No-name newsletter, The",Resources for feminist research,,,,Toronto,"Dept. of Sociology, Ontario Institue for Studies in Education",,19uu,9999,,serial,Quarterly,eng|||fre,text,print,v. ; 28-35 cm.,periodical,,Women's studies|||Periodicals|||Women|||History|||Study and teaching,,,,,,,sn 85011694,
49,517494,Off our backs,,,,,Washington,"Off Our Backs, inc.",,1970,9999,,serial,"Monthly (except combined Aug./Sept. issue) <, Oct. 1981->|||Monthly, 1970-|||Monthly",eng,text,print,v. ill. 38-41 cm.,periodical,,Women|||Periodicals|||Feminism,,,,,,0030-0071,sn 78001596,
50,4185511,Off our backs,,,,,Washington,"Off Our Backs, Inc.",1970-©2008,1970,2008,,serial,"Quarterly, 2006-2008|||Twenty-four no. a year, Feb. 27, 1970-Summer 1971|||Monthly, Sept. 1971-1973|||Monthly (except combined Aug./Sept. issue), 1974-2001|||Bimonthly, 2002-2005|||Quarterly",eng,text,electronic|||electronic resource|||remote|||computer|||online resource,,Electronic journals|||Periodicals|||Périodiques|||periodical|||text,,Women|||Feminism|||Presse féminine|||Féminisme|||Vrouwen,,,,,,2330-0728|||0030-0071,,
51,541222,PAAR - spectives: The newsletter of Pittsburgh Action Against  Rape,,,,,Pittsburgh,Pittsburgh Action Against Rape.,,19uu,9999,,serial,Monthly,eng,text,print,,periodical,,Rape|||Periodicals|||Prevention|||Victim services,,,,,,,,
