id,title,uniform_title,alternative_title,enumeration_chronology,associated_name,publication_place,publisher,publication_date,start_date,end_date,edition,issuance,frequency,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,preceded_by,succeeded_by,issn,lccn,oclcn,url
9248482,Momma: the newspaper/magazine for single mothers,,Momma,,Momma (Organization) (issuing body),"Venice, California :",Momma,,1972,1974,,serial,"Irregular, 1974|||Monthly (irregular), 1972-1973|||Completely irregular",English,text,electronic resource|||remote|||computer|||online resource,1 online resource (2 volumes) : illustrations.,Periodicals|||periodical|||text,,Single mothers|||Unmarried mothers|||Single-parent families|||Women|||Social and moral questions|||Child care,,California,,,,0300-6492,,,http://pitt.idm.oclc.org/login?url=http://gdc.galegroup.com/gdc/artemis/atp/AboutThisPublicationPortletWin?mCode=6QNT&p=AHSI&prodId=AHSI&action=e&windowstate=normal&mode=view&userGroupName=upitt_main
530642,"Monthly extract: an irregular periodical, The",,,,,"Stamford, Conn",New Moon Communications.,,1972,9999,,serial,Unknown,English,text,print,v. 22 cm.,periodical,,Women|||Periodicals|||Health and hygiene|||Feminism,,,,,,,,,
9264317,"Monthly extract, The",,,,"Feminist Gynecological Self Help Clinics of America (issuing body)|||Feminist Women's Health Centers, Inc (contributor)","Stamford, CT :","New Moon Communications, Inc.,",1972-,1972,uuuu,,serial,Irregular|||Completely irregular,English,text,electronic resource|||remote|||computer|||online resource,1 online resource (volumes) : illustrations.,Periodicals|||periodical|||text,,Women|||Health and hygiene|||Feminism,,,,,,,,,http://pitt.idm.oclc.org/login?url=http://link.galegroup.com/apps/pub/9GDJ/AHSI?sid=gale_marc&u=upitt_main
535935,Mother lode,,,,,San Francisco,[s.n.],,1971,9999,,serial,Unknown,English,text,print,no. ill.,,,Feminism|||Periodicals,,,,,,,,,
9247320,Mother lode,,,,,"San Francisco, California :","Mother Lode,",1971-,1971,uuuu,,serial,"2 issues yearly (spring and summer), summer 1971-<spring 1973>|||Quarterly, Jan.-Apr. 1971|||Semiannual",English,text,electronic resource|||remote|||computer|||online resource,1 online resource (volumes) : illustrations.,Periodicals|||periodical|||text,,Feminism,,,,,,,,,http://pitt.idm.oclc.org/login?url=http://gdc.galegroup.com/gdc/artemis/atp/AboutThisPublicationPortletWin?mCode=6QNX&p=AHSI&prodId=AHSI&action=e&windowstate=normal&mode=view&userGroupName=upitt_main
545458,Motheroot journal,,,,,Pittsburgh,Motheroot Publications.,,1979,9999,,serial,Quarterly,English,text,print,v. ill. 44 cm.,periodical|||review,,Books|||Reviews|||Periodicals|||Women|||Book reviews|||Small presses,,,,,,0739-5272,sn 82020180,,
9247867,Motheroot journal: a women's review of small presses,,Motheroot journal,,,"Pittsburgh, Pennsylvania :","Motheroot Publications,",1978-,1978,uuuu,,serial,Quarterly,English,text,electronic resource|||remote|||computer|||online resource,1 online resource (volumes) : illustrations.,Book reviews|||Periodicals|||Reviews|||periodical|||review|||text,,Books|||Women|||Small press books|||Reviews,,,,,,0739-5272,,,http://pitt.idm.oclc.org/login?url=http://gdc.galegroup.com/gdc/artemis/atp/AboutThisPublicationPortletWin?mCode=6QNZ&p=AHSI&prodId=AHSI&action=e&windowstate=normal&mode=view&userGroupName=upitt_main
3955831,National Commission on the Observance of International Women's Year: [update],,,,,"Washington, D.C","The Commission, Office of Public Information.",,19uu,1978,,serial,Unknown,English,text,print,v. ; 27 cm.,Periodicals|||periodical,,"International Women's Year, 1975|||Feminism|||International cooperation|||Women",,Washington (D.C.),,,,,,,
541985,National NOW times: official journal of the National Organization for Women (NOW),,National National Organization for Women times,,,"Washington, DC",NOW,c1977-,1977,9999,,serial,"Three no. a year, 2002-|||Monthly, Dec. 1977-|||8 no. a year, <Jan./Feb. 1985- >|||Quarterly, <1996>-2001|||Three times a year",English,text,print|||electronic resource|||remote,v. : ill. ; 44 cm.,Periodicals|||periodical,,Women|||Feminism|||National Organization for Women,,United States,,Do it NOW (DLC)sn 86023269 (OCoLC)2319299,,0149-4740,sn 78004689,,http://pitt.idm.oclc.org/login?url=http://www.now.org/nnt/nntindex.html
5622787,National NOW times: official journal of the National Organization for Women (NOW),National NOW times (Online),Official journal of the National Organization for Women (NOW)|||National Organization for Women times,,,"Washington, D.C",NOW,,1977,9999,,serial,"Annual, 2009-|||Monthly, Dec. 1997-|||Eight issues per year, <Jan./Feb. 1985>-|||Five issues per year, <-1995>|||Quarterly, 1996-2001|||Three issues per year, 2002-2006|||Two issues a year, 2007-2008|||Annual",English,text,electronic|||electronic resource|||remote|||computer|||online resource,,Electronic journals|||Periodicals|||text,,Women|||Feminism|||Women's Studies|||National Organization for Women,,United States,,Do it NOW,,0149-4740,,,http://pitt.idm.oclc.org/login?url=https://search.proquest.com/publication/36377
553641,Network news,"Network news (Pittsburgh, Pa.)",,,,"Pittsburgh, Pa",The Network,,19uu,9999,,serial,Monthly (irregular)|||Monthly,English,text,print,v. : ill. ; 43 cm.,periodical,,Feminism|||Periodicals|||Women,,Pennsylvania|||Pittsburgh,,,,,sn 85023935,,
9248575,Network news,"Network news (Pittsburgh, Pa.)",,,Pittsburgh Feminist Network (issuing body),"Pittsburgh, Pennsylvania :","The Network,",1983-,1983,uuuu,,serial,Monthly (irregular)|||Monthly,English,text,electronic resource|||remote|||computer|||online resource,1 online resource (volumes) : illustrations.,Periodicals|||periodical|||text,,Feminism|||Women,,Pennsylvania|||Pittsburgh,,,,,,,http://pitt.idm.oclc.org/login?url=http://gdc.galegroup.com/gdc/artemis/atp/AboutThisPublicationPortletWin?mCode=6DBW&p=AHSI&prodId=AHSI&action=e&windowstate=normal&mode=view&userGroupName=upitt_main
550670,"No-name newsletter, The",Resources for feminist research,,,,Toronto,"Dept. of Sociology, Ontario Institue for Studies in Education",,19uu,9999,,serial,Quarterly,French|||English,text,print,v. ; 28-35 cm.,periodical,,Women's studies|||Periodicals|||Women|||History|||Study and teaching,,Canada,,,,,sn 85011694,,
517494,Off our backs,,,,,Washington,"Off Our Backs, inc.",,1970,9999,,serial,"Monthly (except combined Aug./Sept. issue) <, Oct. 1981->|||Monthly, 1970-|||Monthly",English,text,print,v. ill. 38-41 cm.,periodical,,Women|||Periodicals|||Feminism,,,,,,0030-0071,sn 78001596,,
4185511,Off our backs,,,,,Washington,"Off Our Backs, Inc.",1970-©2008,1970,2008,,serial,"Quarterly, 2006-2008|||Twenty-four no. a year, Feb. 27, 1970-Summer 1971|||Monthly, Sept. 1971-1973|||Monthly (except combined Aug./Sept. issue), 1974-2001|||Bimonthly, 2002-2005|||Quarterly",English,text,electronic|||electronic resource|||remote|||computer|||online resource,,Electronic journals|||Periodicals|||Périodiques|||periodical|||text,,Women|||Feminism|||Presse féminine|||Féminisme|||Vrouwen,,,,,,2330-0728|||0030-0071,,,http://pitt.idm.oclc.org/login?url=https://search.proquest.com/publication/32281|||http://pitt.idm.oclc.org/login?url=http://www.jstor.org/journal/offourbacks|||http://pitt.idm.oclc.org/login?url=http://voices.revealdigital.com/cgi-bin/independentvoices?a=cl&cl=CL1&ai=1&sp=BADICEB|||http://pitt.idm.oclc.org/login?url=http://link.galegroup.com/apps/pub/2760/AONE?sid=kbart?&u=upitt_main|||http://pitt.idm.oclc.org/login?url=http://link.galegroup.com/apps/pub/2760/BIG?sid=kbart?&u=upitt_main|||http://pitt.idm.oclc.org/login?url=https://search.ebscohost.com/direct.asp?db=aph&jid=OOB&scope=site
541222,PAAR - spectives: The newsletter of Pittsburgh Action Against  Rape,,,,,Pittsburgh,Pittsburgh Action Against Rape.,,19uu,9999,,serial,Monthly,English,text,print,,periodical,,Rape|||Periodicals|||Prevention|||Victim services,,Pennsylvania|||Pittsburgh,,,,,,,
518796,Parthenogenesis,,,,,"Rowayton, Conn","Women & Arts Task Force, NOW.",,,,,serial,Three or four no. a year.,English,text,print,v. ill. 22 cm.,periodical,,Women|||History|||Periodicals|||Women's rights,,,,,,,,,
9264269,"pedestal, The","Pedestal (Vancouver, B.C. : 1969)",,,,"Vancouver, B.C. :","Vancouver Women's Caucus,",1969-,1969,1974,,serial,"Monthly (irregular), Feb. 1970-Feb. 1974|||Quarterly, fall 1969-winter 1970|||Monthly",English,text,electronic resource|||remote|||computer|||online resource,1 online resource (volumes) : illustrations.,Periodicals|||Underground periodicals-British Columbia-Vancouver|||periodical|||text,,Feminism,,Vancouver|||British Columbia,,,Women Can,0016-5476,,,http://pitt.idm.oclc.org/login?url=http://link.galegroup.com/apps/pub/9GBM/AHSI?sid=gale_marc&u=upitt_main
544366,Pennsylvania NOW,,,,,"Allentown, Pa",National Organization for Women.,,197u,1978,,serial,Monthly,English,text,print,6 v. ill. 28 cm.,periodical,,Women's rights|||Periodicals|||Sex discrimination against women,,Pennsylvania|||United States,,,Pennsylvania NOW times magazine 0199-5359,,,,
591810,Pennsylvania NOW times: the official publication of the National Organization for Women in Pennsylvania,,Pennsylvania National Organization for Women times|||Pennsylvania N.O.W. times,,,"Harrisburg, PA",Pennsylvania National Organization for Women,1982-,1982,9999,,serial,Monthly (except for combined Feb./Mar. and Nov./Dec. issues)|||Monthly,English,text,print,v. ; 45 cm.,periodical,,,,,,Pennsylvania NOW times magazine 0199-5359,,0744-9925|||0199-5359,sn 82006065,,
544365,Pennsylvania NOW times magazine,,Pennsylvania NOW times,,,"Harrisburg, Pa., etc",National Organization for Women],,1978,198u,,serial,Monthly (except Feb. and Sept.)|||Monthly,English,text,print,v. 28 cm.,periodical,,Women's rights|||Periodicals|||Sex discrimination against women,,Pennsylvania|||United States,,Pennsylvania NOW (OCoLC)4678988,Pennsylvania NOW times 0744-9925,0199-5359,sn 80011224,,
553534,"Pittsburgh woman, The",,,,,"Pittsburgh, Pa","The Pittsburgh Woman, Inc.",1985-,1985,9999,,serial,Monthly,English,text,print,v. : ill. ; 44 cm.,periodical,,,,,,,,,sn 85023981,,
