,id,title,creator,contributor,creation_date,sort_date,display_date,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,host,series,container,owner,depositor,collection_id
94,31735037974148,Dark of the Moon,,,1949-05,1949-05-01T00:00:00,May 1949,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 13,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
95,31735037974155,"The Winslow Boy,",,,1949-07,1949-07-01T00:00:00,July 1949,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 13,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
96,31735037974163,"All My Sons,",,,1948-03,1948-03-01T00:00:00,March 1948,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 13,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
97,31735037974171,"The Flies,",,,1948-12,1948-12-01T00:00:00,December 1948,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 13,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
98,31735037974189,"Candida,",,,1949-03,1949-03-01T00:00:00,March 1949,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 13,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
99,31735037974197,"The Philadelphia Story,",,,1948-10,1948-10-01T00:00:00,October 1948,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 13,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
100,31735037974205,"The Would-Be Gentleman,",,,1948-05,1948-05-01T00:00:00,May 1948,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 13,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
101,31735037974213,"Curtain Time,",,,1948-04,1948-04-01T00:00:00,April 1948,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 13,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
102,31735037974221,"The Glass Menagerie,",,,1950-08,1950-08-01T00:00:00,August 1950,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 14,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
103,31735037974239,"Julius Caesar,",,,1950-03,1950-03-01T00:00:00,March 1950,,text,,,archival document,,,,,Pitt Players Records,"I. Programs, 1916-1960",Folder 14,ULS Special Collections Department,University of Pittsburgh,collection.10|||collection.8
