id,title,uniform_title,alternative_title,enumeration_chronology,associated_name,publication_place,publisher,publication_date,start_date,end_date,edition,issuance,frequency,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,preceded_by,succeeded_by,issn,lccn,oclccn,url
542023,Katu,,,,,"Milano, Italy",,,1975,9999,,serial,Unknown,English,text,microfilm,,newspaper,,Underground newspapers,,"Milano|||Italy|||Italy, Milano",,,,,,,
542055,Labor newsletter,,,,,"San Francisco, Calif",,,19uu,9999,,serial,Unknown,English,text,microfilm,,newspaper,,Underground newspapers,,"San Francisco|||United States, California, San Francisco|||California",,,,,,,
543694,"Lansing star, The",,,,,"Lansing, Mich",,,,9999,,serial,Monthly,English,text,microfilm,v. ill.,newspaper,,Underground newspapers,,"Michigan|||United States, Michigan, Lansing|||Lansing",,,,,,,
540647,Lebanon free press,,,,,"Lebanon, Pa",,,1973,9999,,serial,Unknown,English,text,microfilm,,newspaper,,Underground newspapers,,"Lebanon|||Pennsylvania|||United States, Pennsylvania, Lebanon",,,,,,,
543673,Leeds student,,,,,"Leeds, England",Leeds Student.,,19uu,9999,,serial,Weekly,English,text,microfilm,v. ill.,newspaper,,Underground newspapers,,"England|||England, Leeds|||Leeds",,,,,,,
540675,Left speak out,,Peoria free press-voice of the new community,,,"Peoria, Ill",,,1968,9999,,serial,Unknown,English,text,microfilm,,newspaper,,Underground newspapers,,"Peoria, Ill|||United States, Illinois, Peoria",,,,,,,
542016,Libero international,,,,,"Kobe, Japan",,,1975,9999,,serial,Unknown,English,text,microfilm,,newspaper,,Underground newspapers,,"Kobe|||Japan, Kobe|||Japan",,,,,,,
540744,Lifestyle,,,,,"Unionville, Ohio",,,1972,9999,,serial,Unknown,English,text,microfilm,,newspaper,,Underground newspapers,,"United States, Ohio, Unionville|||Unionville|||Ohio",,,,,,,
540811,Lincoln gazette,,,,,"Lincoln, Neb",,,1972,9999,,serial,Weekly,English,text,microfilm,,newspaper,,Underground newspapers,,"Lincoln|||Nebraska|||United States, Nebraska, Lincoln",,,,,,,
535592,Long Island free press,,,,,"Westbury, N.Y",,,19uu,9999,,serial,Unknown,English,text,microfilm,,newspaper,,,,"United States, New York, Westbury",,,,,,,
542051,Loose licks,,,,,"Sydney, Australia",,,1976,9999,,serial,Unknown,English,text,microfilm,,newspaper,,Underground newspapers,,"Australia|||Australia, Sydney|||Sydney (N.S.W.)",,,,,,,
540644,Los Angeles weekly news,,,,,"Los Angeles, Calif",,,1973,9999,,serial,Unknown,English,text,microfilm,,newspaper,,Underground newspapers,,"Los Angeles|||California|||United States, California, London",,,,,,,
543320,Lot's wife,,,,,"Melbourne, Australia",,,,9999,,serial,Weekly,English,text,microfilm,v. ill.,newspaper,,Underground newspapers,,"Australia|||Melbourne (Vic.)|||Australia, Melbourne",,,,,,,
540643,Magic ink,,,,,London,,,1971,9999,,serial,Unknown,English,text,microfilm,,newspaper,,Underground newspapers,,"Great Britain, London|||England|||London",,,,,,,
540646,Marijuana information transfer (MIT news service),,,,,Los Angeles,,,1973,9999,,serial,Unknown,English,text,microfilm,,newspaper,,Underground newspapers,,"Los Angeles|||California|||United States, California, Los Angeles",,,,,,,
543881,Marijuana monthly,,,,,"Panorama City, California",Sanders Publishing Co.,,1975,9999,,serial,Monthly,English,text,microfilm,v.,newspaper,,Underground press publications,,"United States, California, Panorama City|||California|||Panorama City",,,,,,,
540684,Marijuana review,,,,,"San Francisco, Calif. [etc.]",,,1969,9999,,serial,Unknown,English,text,microfilm,,newspaper,,Underground press publications,,"San Francisco|||United States, California, San Francisco|||California",,,,,,,
