id,title,uniform_title,alternative_title,enumeration_chronology,associated_name,publication_place,publisher,publication_date,start_date,end_date,edition,issuance,frequency,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,preceded_by,succeeded_by,copyright_status,copyright_holder,copyright_note,record_id,issn,lccn,oclccn,depositor,url,collection_id
,"world of Gilbert and Sullivan, The",,,,,London|||New York,P. Nevill,,,,,monographic,,English,text,print,"167 p., [11] leaves of plates : ill. ; 22 cm.",biography,,"Gilbert, W. S. (William Schwenck) 1836-1911|||Sullivan, Arthur 1842-1900",,,,,,,,,998664763406236,,,,,,
,Robert Stolz: Melodie eines Lebens : ein Komponist erobert die Welt,,,,,Hamburg,Marion von Schröder Verlag,,,,1. Aufl.,monographic,,German,text,print,"199 p., 128 pages of plates : ill., facsims. ; 24 cm.",bibliography|||biography,,"Iconography|||Stolz, Robert 1880-1975",,,,,,,,,998667843406236,,67028355 /MN,,,,
,My time is your time: the story of Rudy Vallee,,,,,New York,I. Obolensky,,,,,monographic,,English,text,print|||unmediated|||volume,244 pages illustrations 25 cm,Biographies|||Biography|||biografi|||text,,"Musicians|||Musiker|||Självbiografier|||Vallée, Rudy 1901-1986",,United States|||Förenta staterna,,,,,,,998750063406236,,62018783,,,,
,"British broadside ballad and its music, The",,,,,"New Brunswick, N.J",Rutgers University Press,,,,,monographic,,English,text,print,"xxxiii, 922 p. 26 cm.",bibliography,,"Ballads, English|||History and criticism|||Folk songs, English",,,,,,,,,998754753406236,,63016308 /MN,,,,
,Decorative theatre lighting: a pictorial survey,,,,,United States],Theatre Historical Society,,,,,monographic,,English,text,print,40 p. : ill. ; 22 x 28 cm.,,,"Theaters|||Lighting|||Electric lighting|||Lighting, Architectural and decorative",,United States,,,,,,,998913183406236,,,,,,
,"world of Hirschfeld, The",,,,,New York,H. N. Abrams,,,,,monographic,,English,text,print,233 p. illus. (part col.) 28 x 30 cm.,,,,,,,,,,,,998997813406236,,70082875 //r84,,,,
,"American theatre as seen by Hirschfeld, The",,,,,New York,G. Braziller,,,,,monographic,,English,text,print,1 v. (unpaged) (chiefly illus.) 25 x 30 cm.,,,Theater|||Caricatures and cartoons,,United States,,,,,,,999005973406236,,61015495 /L,,,,
,Gilbert & Sullivan opera: a new assessment,,,,,New York,Macmillan,,,,,monographic,,English,text,print,292 p. illus. 23 cm.,"Stories, plots, etc",,"Operas|||Gilbert, W. S. (William Schwenck) 1836-1911|||Sullivan, Arthur 1842-1900",,,,,,,,,999065073406236,,53003502 /L,,,,
,"Season in, season out, 1965-1966",,,,,"New York, N.Y",Hawthorn,,,,1st ed.,monographic,,English,text,print,"xiii, 221 p. ; 24 cm.",,,Theater,,New York (State)|||New York,,,,,,,999648213406236,,66015351,,,,
,Mister Abbott,,,,,New York,Random House,,,,,monographic,,English,text,print,279 p. 22 cm.,biography,,Actors|||Biography,,,,,,,,,999648273406236,,63016153,,,,
,Bright particular star: the life & times of Charlotte Cushman,,,,,New Haven,Yale University Press,,,,,monographic,,English,text,print,"xvi, 453 p. illus., facsim., ports. 24 cm.",bibliography|||biography,,"Cushman, Charlotte 1816-1876",,,,,,,,,999648513406236,,76099829,,,,
,"Groucho letters: letters from and to Groucho Marx, The",,,,,New York],Signet Books,,1968,1967,,monographic,,English,text,print,238 p. 18 cm.,biography,,,,,,,,,,,999653363406236,,67012921,,,,
,Chips off the old Benchley,,,,"Williams, Gluyas, 1888- (illus)","New York, N.Y",Harper,,,,,monographic,,English,text,print,"xii, 273 p. : ill. ; 21 cm.",,,,,,,,,,,,999664933406236,,49010872 //r83,,,,
,"worlds of Robert E. Sherwood: mirror to his times, 1896- 1939, The",,,,,"New York, N.Y",Harper & Row,,,,[1st ed.],monographic,,English,text,print,"xviii, 409 p. : ill., ports. ; 22 cm.",bibliography|||biography,,"Biography|||Dramatists, American|||Sherwood, Robert E. (Robert Emmet) 1896-1955",20th century,,,,,,,,999677853406236,,65020424 //r852,,,,
,Private Shaw and public Shaw: a dual portrait of Lawrence of Arabia and G. B. S,,,,,New York,Braziller,,,,,monographic,,English,text,print,302 p. : ill. ; 22 cm.,bibliography|||biography,,"Lawrence, T. E. (Thomas Edward) 1888-1935|||Shaw, Bernard 1856-1950",,,,,,,,,999691763406236,,62019925 /L,,,,
,Famous American plays of the 1930s,,,,"Clurman, Harold, 1901-1980 (ed)",New York,Dell Pub. Co.,,,,,monographic,,English,text,print,480 p. ; 17 cm.,,,American drama,20th century,,,,,,,,999768133406236,,60000412,,,,
,Memo from David O. Selznick,,,,,New York,Viking Press,,,,,monographic,,English,text,print,"xxiv, 549 p. illus. 22 cm.",biography,,,,,,,,,,,999775483406236,,72196904,,,,
,"world of musical comedy: the story of the American musical stage as told through the careers of its foremost composers and lyricists, The",,,,,New York,Ziff-Davis Pub. Co.,,,,,monographic,,English,text,print,"xvi, 391 p. : ill. ; 26 cm.",biography,,Musicals|||History and criticism|||Composers,,United States,,,,,,,999912163406236,,60010522 //r83,,,,
,If memory serves: memoirs of Sacha Guitry,Si jái bonne mémoire. English. 1935,,,,"Garden City, N.Y","Doubleday, Doran & Co.",,,,,monographic,,French|||English,text,print,"viii p., 2 l., 312 p. : ill., ports. ; 24 cm.",Correspondence|||biography,,Actors,,,,,,,,,999919563406236,,35024923,,,,
,"modern theatre: five plays, The",,,,"Bentley, Eric, 1916-2020 (ed)","Garden City, NY",Doubleday,,1955,9999,,monographic,,Undetermined|||English,text,print,v. ; 18 cm.,Collections,,Drama|||English drama,,,,,,,,,999944433406236,,55007979 //r61,,,,
,After the fall: a play,,,,,New York,Viking Press,,,,Rev. final stage version⁾,monographic,,English,text,print,114 p. ports. 22 cm.,,,,,,,,,,,,9910537223406236,,66001903,,,,
,"MGM years, The",,,,,New York,Columbia House; distributed by Arlington House,,,,,monographic,,English,text,print,138 p. illus. 31 cm.,bibliography,,Musical films|||History and criticism,,Los Angeles|||California,,,,,,,9910703833406236,,72195889 //r882,,,,
,Occupation: angel,,,,,New York,Norton,,,,[1st ed.],monographic,,English,text,print,256 p. ; 22 cm.,,,Theater|||Production and direction,,New York (State)|||New York,,,,,,,9910989273406236,,62010096,,,,
,... Plays,,,,,New York,Hill and Wang,,1958,1967,,monographic,,English,text,print,3 v. 19 cm.,,,,,,,,,,,,9911040913406236,,58006064 //r68,,,,
,"Famous plays of crime and detection, from Sherlock Holmes to Angel Street",,,,"Cartmell, Van H. (Van Henry), 1896-1966 (comp)|||Cerf, Bennett, 1898-1971 (joint comp)",Philadelphia,The Blakiston company,,,,,monographic,,English,text,print,"xv, 910 p. 22 cm.",,,Detective and mystery plays,,,,,,,,,9911094623406236,,46006655 //r,,,,
,"One-act plays for stage and study, fourth series: twenty two contemporary plays, never before published in book form",,,,,New York City|||London,"S. French|||S. French, Ltd.",,,,,monographic,,English,text,print,"xii, 370 p. 21 cm.",,,American drama|||English drama,,,,,,,,,9911101393406236,,28027611,,,,
,"king's henchman: a play in three acts, The",,,,,New York|||London,Harper & Brothers,,,,,monographic,,English,text,print,"4 p. ., 3-131, [1] p. front. 26 cm.",,,Aethelwold d. 962,,,,,,,,,9911149103406236,,27005029,,,,
,"Good night, sweet prince",,Life and times of John Barrymore,,,New York,The Viking press,,,,,monographic,,English,text,print,"xvi, 477 p. : ill. ; 22 cm.",biography,,"Actors|||Biography|||Barrymore, John 1882-1942",,United States,,,,,,,9911262233406236,,44004430 //r892,,,,
,Covent Garden,,,,,London|||New York,M. Parrish|||Chanticleer Press,,,,,monographic,,English,text,print,70 p. : ill. (some col.) ; 23 cm.,,,"Royal Opera House (London, England)",,Great Britain,,,,,,,9911268043406236,,49007280,,,,
,Portrait of G.B.S,,,,,New York,Oxford University Press,,,,,monographic,,English,text,print,12 p. : 33 ports. (1 col.) ; 25 cm.,,,"Portraits|||Shaw, Bernard 1856-1950",,,,,,,,,9911412243406236,,a 50009024,,,,
,Three English comedies,,,,,Boston,Allyn and Bacon,,,,,monographic,,English,text,print,"vii, 479 p., [18] leaves of plates : ill. ; 17 cm.",,,English drama,18th century,,,,,,,,9911412293406236,,24029876,,,,
,Mud show: a circus season,,,,,New York,Harcourt Brace Jovanovich,,,,1st ed.,monographic,,English,text,print,374 p. : ill. ; 24 cm.,,,Circus|||Hoxie Brothers Circus.,,United States,,,,,,,9911414803406236,,75012691,,,,
,Portrait of Barrie,,,,,New York,Dutton,,,,1st ed.,monographic,,English,text,print,"230 p., [7] †. of plates : ill. ; 22 cm.",biography,,"Barrie, J. M. (James Matthew) 1860-1937",,,,,,,,,9911419633406236,,55009648 /L,,,,
,"art of rehearsal, The",,,,,New York,S. French,,,,,monographic,,English,text,print,14 p. ; 16 cm.,,,Theater|||Production and direction,,,,,,,,,9911427703406236,,28016931,,,,
,"New theatre, The",,,,,"Glen Gardner, N.J",Libertarian Press,,,,,monographic,,English,text,print,[11] p. : col. ill. ; 29 cm.,,,"Theater architecture|||Architecture|||History|||Wright, Frank Lloyd 1867-1959",20th century,Connecticut|||Hartford,,,,,,,9911431863406236,,,,,,
,Long Wharf Theatre cooks,,,,,"New Haven, Conn",Long Wharf Theatre Associates,,,,,monographic,,English,text,print,219 p. : ill. ; 28 cm.,,,"Cooking|||Cooking, American|||Long Wharf Theatre (New Haven, Conn.)",,Connecticut,,,,,,,9911602083406236,,,,,,
,"persecution and assassination of Jean-Paul Marat, The",Verfolgung und Ermordung Jean Paul Marats. English,A play by Peter Weiss,,,New York,Atheneum,,1981,1965,College ed.,monographic,,German|||English,text,print,"x, 117 p. : music ; 21 cm.",,,"Drama|||Marat, Jean Paul 1743-1793",,,,,,,,,9911664323406236,,65015915,,,,
,Membership directory,Membership directory (1956)|||Puppetry journal,,,,"Ashville, Ohio",Puppeteers of America,,19uu,19uu,,serial,Annual,English,text,print,v. ; 23 cm.,directory,,Directories|||Puppeteers|||Puppeteers of America,,United States,,,International membership directory Puppeteers of America. (OCoLC)4296974 (DLC)sc 82007046,,,,9911712463406236,,sn 94042088,,,,
,"theatre: three thousand years of drama, acting and stagecraft, The",,,,,New York,Tudor Pub. Co.,,,,,monographic,,English,text,print,"ix, 558 p. : ill., ports. ; 24 cm.",bibliography,,Theater|||History|||Drama|||History and criticism,,,,,,,,,9911763613406236,,a 36000282,,,,
,Bring on the empty horses,,,,,New York],Dell,,,,,monographic,,English,text,print,"352 p. : ill., ports. ; 18 cm.",biography,,"Motion picture actors and actresses|||Biography|||Motion picture industry|||Niven, David 1910-1983",,Los Angeles|||California|||United States,,,,,,,9911798933406236,,,,,,
,Sinatra: twentieth-century romantic,,,,,New York,Pocket Books,,1969,1968,Pocket book ed.,monographic,,English,text,print,370 p. : ill. ; 18 cm.,biography,,"Sinatra, Frank 1915-1998",,,,,,,,,9911912713406236,,69010234,,,,
,Complete catalogue of plays,,,,,New York,,,1957,9999,,serial,Annual,English,text,print,v. 23 cm.,bibliography,,Drama|||Bibliography|||Catalogs|||Theater,,,,,,,,,9911993553406236,0419-7178,63000289,,,,
,Baker's plays,,,,,Boston,Walter H. Baker,,19uu,19uu,,serial,Annual,English,text,print,v. ; 19-27 cm.,series,,Drama|||Bibliography|||Catalogs,,,,,Baker's plays and theatre bookstore (DLC)sn 84010425 (OCoLC)8852899,,,,9912015013406236,,sn 88012703,,,,
,Report,,,,,London,Arts Council of Great Britain.,,1946,1966,,serial,Annual,English,text,print,"21 v. ill., ports. 22 cm.",Periodicals,,"Art|||World War, 1939-1945|||Music and the war|||Theater and the war|||Art and the war",,Great Britain,,Report of the work Council for the Encouragement of Music and the Arts.,Annual reports and accounts Arts Council of Great Britain. (OCoLC)23237820,,,,9912258233406236,,66004699,,,,
,"art of acting in antiquity: iconographical studies in Classical, Hellenistic and Byzantine theatre, The",,,,,Copenhagen,Museum Tusculanum,,,,,monographic,,English,text,print,150 p. : ill. ; 23 cm.,bibliography,,Theater|||History|||Theater in art,,"Rome|||Greece|||Byzantine Empire|||Africa, North|||Europe|||Middle East",,,,,,,9912787713406236,,,,,,
,"James Dean, photographs","James Dean, Photographien. English",,,,New York,W.W. Norton,,,,,monographic,,German|||English,text,print,135 p. : chiefly ports. ; 19 cm.,bibliography,,"Portraits|||Motion picture actors and actresses|||Dean, James 1931-1955",,United States,,,,,,,9912904053406236,,,,,,
,Theatre,"Theatre (New York, N.Y. : 1953)",,,,New York,Random House,,1953,1956,,serial,Annual,English,text,print,4 v. : ill. ; 22 cm.,Periodicals,,"Theater|||Drama|||Plots (Drama, novel, etc.)|||Bibliography",20th century,United States,,,,,,,9913176143406236,,53006917 //r,,,,
,"Yesterday's tomorrows: the golden age of the science fiction movie poster, 1950-1964",,,,,"Dallas, Tex",Taylor Pub. Co.,,,,,monographic,,English,text,print,"viii, 184 p. : ill. (some col.) ; 28 cm.",,,Film posters|||Science fiction films|||History and criticism,,,,,,,,,9913258073406236,,92034613,,,,
,"Straw hat: guide to summer theatres, musical tents, Shakespeare festivals",,,,"Dachs, David, 1922- (ed)",New York,"Frank Productions, Inc.",,1957,9999,,serial,Completely irregular,English,text,print,"v. : ill., maps ; 21 cm.",directory,,Summer theater|||Directories,,,,,,,,,9913265383406236,,,,,,
,Broadway theatre posters,,,,,"New York, N.Y",Smithmark,,,,,monographic,,English,text,print,112 p. : ill. (chiefly col.) ; 37 cm.,,,"Theatrical posters, American|||Theater|||History|||Pictorial works",,New York (State)|||New York,,,,,,,9913398853406236,,,,,,
,"Who's Tommy: the musical, The",,,,,New York,Pantheon Books,,,,1st ed.,monographic,,English,text,print,173 p. : ill. (some col.) ; 31 cm.,Librettos,,"Musicals|||Production and direction|||Townshend, Pete|||Who's Tommy",,,,,,,,,9913445623406236,,93021923 /MN,,,,
,Baroque and romantic stage design,,,,,New York,Dutton,,,,,monographic,,English,text,print,1 v. (chiefly ill.),bibliography,,Scene painting,,,,,,,,,9913765693406236,,,,,,
