id,title,creator,contributor,creation_date,sort_date,display_date,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,host,series,container,owner,depositor,collection_id
31735068207947,"Opera program - The McCaull Opera Comique Company in The Black Hussar,",,,,,"October 5, 1885",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068207954,"Opera program - The Hugeunots!,",,,,,"December 7, 1875",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068208010,"Theatre program - As You Like It with Margaret Mather,",,,,,"November 19, 1883",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068208028,"Theatre program - Madison Square Theatre in May Blossom, the Fisherman's Daughter,",,,,,"February 23, 1885",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068208036,"Opera program - The Emma Abbott Grand Opera Company in Il Trovatore,",,,,,"April 18, 1885",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068208051,"Advertising - Alexander Salvini tour,",,,,,"Dcember 31, 1885",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068208077,"Theatre program - Bill Nye and A. P. Burbank,",,,,,"April 9, 1892",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068208135,"Concert program - Grand Music Festival,",,,,,"March 11-14, 1884",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068208143,"Opera program - The Ford English Opera Company in Martha with Zelda Seguin,",,,,,"April 1, 1885",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068208150,"Theatre program - Pittsburgh Press Club Testimonial featuring Musette, or the Secret of Guilde Court with Lotta Crabtree; Sheehan and Coyne; Sea of Ice with Lottie Church; etc.,",,,,,"April 23, 1885",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068208168,"Burlesque program - Pinafore in Pennsylvania Dutch,",,,,,"June 8, 1885",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068208176,"Theatre program - The Duke's Motto with Alexander Salvini and Violla Allen,",,,,,"January 2, 1886",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068208184,"Advertising - Henry VIII with Charlotte Cushman; and Miscellaneous Selections,",,,,,"April 1, 1872",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068208192,"Theatre program - Rip Van Winkle with Mr. Joseph Jefferson,",,,,,"March 16, 1869",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068208267,"Theatre program - Wild Oats!; and Blackened Susan with Edwin Adams,",,,,,"September 26, 1874",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068208333,"Theatre program - The Heir at Law; and Toodles with J. S. Clarke,",,,,,"December 28, 1874",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068208440,"Theatre program - Rip Van Winkle, or, The Sleep of Twenty Years with Joseph Jefferson,",,,,,"December 16, 1874",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068208465,"Theatre program - 'Twixt Axe and Crown with Clara Rousby,",,,,,"February 15, 1875",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068208564,"Theatre program - Hunchback with Clara Morris,",,,,,"December 7, 1874",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068208572,"Theatre program - King John! with Agnes Booth and J. B. Booth,",,,,,"January 16, 1875",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068208655,"Theatre program - Lady of Lyons with Katherine Randolph,",,,,,"October 7, 1874",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068208663,"Theatre program - Julius Caesar with Lawrence Barrett,",,,,,"November 18, 1874",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068208671,"Theatre program - London Assurance! with Jane Coombs,",,,,,"November 5, 1874",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068208770,"Theatre program - Clancarity! or, Wedded and Wooed with Edwin Adams,",,,,,"October 2, 1874",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068208796,"Theatre program - Money! with Lawrence Barrett,",,,,,"November 17, 1874",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068208838,"Theatre program - Col. Mulberry Sellers! with John T. Raymond,",,,,,"April 14, 1875",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068208861,"Theatre program - Salsbury's Troubadours in Little Mother; and Patchwork!,",,,,,"June 12, 1875",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068208945,"Theatre program - As You Like It! or, The Forest of Arden with Effie E. Ellsler,",,,,,"February 26, 1876",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068208960,"Theatre program - Guy Mannering! with Emma Waller,",,,,,"April 8, 1876",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068208986,"Theatre program - Augustin Daly's Fifth Avenue Theatre Company in Big Bonanza!,",,,,,"September 29, 1875",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068209026,"Opera program - La Jolie Parfumeuse! with Alice Oates,",,,,,"December 2, 1875",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068209059,"Theatre program - The Unequal Match! with Jane Coombs,",,,,,"January 15, 1876",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068209083,"Theatre program - Dundreary Married and Settled! with E.A. Sothern,",,,,,"April 27, 1876",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068209117,"Theatre program - Furbish's Fifth Avenue Combination in Two Orphans,",,,,,"October 26, 1875",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068209125,"Theatre program - Richard III with Barry Sullivan,",,,,,"November 9, 1875",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068209141,"Opera program - Trial by Jury!; and Les Bavards with Alice Oates,",,,,,"December 4, 1875",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068209174,"Theatre program - Macbeth with Barry Sullivan,",,,,,"February 3, 1876",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068209265,"Theatre program - Twelve Temptations!,",,,,,"December 28, 1875",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068209299,"Theatre program - Hamlet with Barry Sullivan,",,,,,"February 4, 1876",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068209307,"Theatre program - Mighty Dollar! with William J. Florence and Malvina Florence,",,,,,"March 7, 1876",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068209331,"Burlesque program - Bryant's Minstrels in Soiree d'Ethiope! and Dark Deeds in Dixey!; Walters and Morton; etc.,",,,,,"June 22, 1875",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068209364,"Theatre program - Richelieu! or, The Conspiracy with Barry Sullivan,",,,,,"November 8, 1875",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068209380,"Theatre program - Victor of Rhe! or, Risen from the Dead with J. Newton Gotthold,",,,,,"December 22, 1875",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068209414,"Theatre program - Avalanche! or, Under the Snow with Effie E. Ellsler,",,,,,"February 22, 1876",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068209422,"Theatre program - Musette with Lotta Crabtree,",,,,,"March 24, 1876",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068211279,"Theatre program - Galatea or, the Statue; and Leah, the Forsaken with Katherine Randolph,",,,,,"October 3, 1876",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068211295,"Theatre program - Everybodie's Friend with John E. Owens and Minnette Thompson,",,,,,"November 21, 1876",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068211394,"Theatre program - No Thoroughfare! with Charles Fechter and Lizzie Price,",,,,,"October 18, 1876",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068211527,"Theatre program - Our American Cousin! with E.A. Sothern,",,,,,"November 7, 1876",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068211576,"Souvenir benefit program - Two Orphans with Kate Claxton,",,,,,"March 2, 1877",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068211642,"Theatre program - Hornet's Nest! and Dundreary Married & Settled! with E.A. Sothern,",,,,,"November 10, 1876",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068211683,"Theatre program - Conn In The Shaughraun with Dion Boucicault,",,,,,"February 15, 1877",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068211741,"Theatre program - Monte Cristo with Charles Fechter and Lizzie Price,",,,,,"October 28, 1876",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068211766,"Theatre program - Romeo and Juliet with Adelaide Neilson and Eben Plympton,",,,,,"November 15, 1876",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068211840,"Theatre program - Victims!; and Solon Shingle! with John E. Owens,",,,,,"September 12, 1877",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068211915,"Theatre program - Reopening of the Fulton Give 'Em Hell Harry,",,,,,"May 31, 1991",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068211923,"Opera program - Pittsburgh Opera Aida,",,,,,"October 7, 1971",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068211931,"Concert program - Inaugural Concert at Heinz Hall by the Pittsburgh Symphony Orechestra,",,,,,"September 11, 1971",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068211949,"Vaudeville program - Houdini Chinese Water Torture Cell performance,",,,,,"November 6, 1916",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068211956,"Vaudeville program - The Grand Conservatory Female Serenaders!; The Great Classical Living Statue Troupe; Live Indian!; etc,",,,,,"January 7, 1876",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068211964,"Theatre program - Much Ado About Nothing at the house of Mr. William Thaw,",,,,,"January 17, 1879",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068212079,"Vaudeville program - Kernell & Thatchers Minstrels!; Rip Van Winkle or, The Sleep of Twenty Years with Billy DeVere; etc",,,,,,,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068212087,"Opera program - The Boston Ideal Opera Company in Musketeers,",,,,,"April 18, 1887",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068212194,"Vaudeville program - Houdini performance,",,,,,"February 23, 1925",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"II. 20th Century Pittsburgh Theatres, 1901-current",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068212202,"Opera program - The Conried English Opera Company in The Gypsy Baron with Laura Bellini,",,,,,"February 21, 1887",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068212327,"Opera program - The Temple Theater Comic Opera Company in The Little Tycoon,",,,,,"March 28, 1887",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068212434,"Vaudeville program - Miss Ettie Romaine; Squire for a Day; etc.,",,,1875-12,1875-12-01T00:00:00,December 1875,,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068212442,"Theatre Program - Meg Merrilies with Francesca Janauschek,",,,,,"January 17, 1887",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068212459,"Opera program - Baba with Belle Howitt and William H. Fitzgerald,",,,,,"August 28, 1877",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068212491,"Theatre program - The Danites with McKee Rankin and Kitty Blanchard,",,,,,"September 21, 1878",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068212517,"Theatre program - H. M. S. Pinafore with Effie Ellsler,",,,,,"March 15, 1879",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068212525,"Burlesque program - Colville Opera Burlesque Co. in Il Trovatore, or, The Mother, The Maiden, and The Musicianer,",,,,,"April 20, 1880",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068212533,"Theatre program - Herrmann the Great performance,",,,,,"January 3, 1881",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068212541,"Theatre program - Frou-Frou! with Helena Modjeska,",,,,,"March 9, 1883",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068212566,"Theatre program - Princess Ida! or, Castle Adamant,",,,,,"April 14, 1884",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068212624,"Burlesque program - Emerson's Megatherian Minstrels in Schoolcraft's Visit; Frank Naoni; Harry Robinson; etc.,",,,,,"October 25, 1879",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068212632,"Theatre program - Ingomar with Mary Anderson and John W. Norton,",,,,,"February 8, 1879",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068212640,"Theatre program - Zip or, Point Lynde Light with Lotta Crabtree,",,,,,"January 29, 1880",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068212657,"Theatre program - Rip Van Winkle with Joseph Jefferson,",,,,,"February 21, 1881",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068212665,"Burlesque program - Haverly's Mastodon Minstrels performing The Old Kentucky Home! and Her Majesty's Opera!,",,,,,"October 9, 1882",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068212673,"Theatre program - The White Slave!,",,,,,"February 5, 1883",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068212681,"Theatre program - The Bandit King with James. H. Wallick,",,,,,"September 28, 1885",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068212731,"Theatre program - Othello with Edwin Booth,",,,,,"April 13, 1878",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068212749,"Theatre program - Fanchon with Maggie Mitchell and William Harris,",,,,,"September 21, 1879",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
31735068212756,"Theatre program - Little Em'ly with George Fawcett Rowe,",,,,,"January 23, 1879",,text,,,archival document,,,,,Ford E. and Harriet R. Curtis Theatre Collection of Pittsburgh Theatre Programs,"I. 19th Century Pittsburgh Theatres, 1840-1935",,ULS Special Collections Department,University of Pittsburgh,collection.254|||collection.10
