id,title,uniform_title,alternative_title,creator,contributor,publication_place,publisher,publication_date,encoded_date,creation_date,copyright_date,edition,issuance,language,type_of_resource,format,extent,genre,abstract,subject,temporal_coverage,geographic_coverage,target_audience,record_id,isbn,lccn,oclccn,url,depositor,collection_id
,Representative English plays: from the miracle plays to Pinero,,,"Tatlock, John S. P. (John Strong Perry), 1876-1948","Martin, Robert Grant, 1882-1931 (joint ed)",New York|||London,"D. Appleton-Century Company, incorporated",[c1938],[c1938]||||||1938,,,"2d ed., rev. and enl.",monographic,English,text,print,"x, 914 p. 25 cm.",bibliography,,English drama,,,,997316623406236,,38003805,01546198,,,
,Introducing Shakespeare,,,"Harrison, G. B. (George Bagshawe), 1894-1991",,New York,"Penguin Books, inc.",[1947],[1947]||||||1947,,,,monographic,English,text,print,"3 p. l., 121 p. illus., 2 pl.(incl. port.) on 1 l. 18 cm.",bibliography,,"Shakespeare, William 1564-1616",,,,997318243406236,,47023631,01806744,,,
,"Hamlet, prince of Denmark",,,"Shakespeare, William, 1564-1616","Adams, Joseph Quincy, 1881-1946 (ed)",Boston|||New York [etc.],Houghton Mifflin company,[c1929],[c1929]||||||1929,,,,monographic,English,text,print,"vii, 356 p. front. 20 cm.",,,,,,,997322853406236,,29009534,02379064,,,
,"Anger, and after: a guide to the new British drama",,,"Taylor, John Russell.",,Baltimore,Penguin Books,[c1963],[c1963]||||||1963,,,[Rev. ed.],monographic,English,text,print,"351, [1] p.",,,,,,,997331173406236,,,04148605,,,
,Shakespearian production: with especial reference to the tragedies,,,"Knight, G. Wilson (George Wilson), 1897-1985",,"Evanston, Ill.]",Northwestern University Press,1964,1964,,,,monographic,English,text,print,323 p. illus. 23 cm.,bibliography,,"Stage history|||Shakespeare, William 1564-1616",1800-,,,997353943406236,,64007142,00353238,,,
,"Shakespearean tragedy: Hamlet, Othello, King Lear, Macbeth: [lectures]",,,"Bradley, A. C. (Andrew Cecil), 1851-1935",,New York,Meridian Books,1955,1955,,,,monographic,English,text,print,448 p. 18 cm.,,,"Shakespeare, William 1564-1616|||Plays",,,,997366063406236,,55009704 /L/r84,01175402,,,
,New voices in the American theatre,,,,"Atkinson, Brooks, 1894-1984",New York,Modern Library,[1955],[1955]||||||1955,,,,monographic,English,text,print,"xi, 559 p. 19 cm.",,,American drama,20th century,,,997441203406236,,55010654 //r83,00228094,,,
,Famous American plays of the 1940s,,,,"Hewes, Henry (ed)",New York,Dell Pub. Co.,1960],1960]||||||1960,,,,monographic,English,text,print,447 p. 17 cm.,,,American drama,20th century,,,997441473406236,,60003033 /L,00232988,,,
,Six American plays for today,,,,"Cerf, Bennett, 1898-1971 (ed)",New York,Modern Library,[1961],[1961]||||||1961,,,,monographic,English,text,print,599 p. 19 cm.,,,American drama,20th century,,,997444253406236,,61011189 /L/r85,00270305,,,
,Six modern American plays,,,,"Halline, Allan Gates.",New York,Modern Library,[1951],[1951]||||||1951,,,,monographic,English,text,print,419 p. 19 cm.,,,American drama,20th century,,,997444383406236,,51008900 /L,00270496,,,
,"theatre of Bernard Shaw: ten plays chosen and discussed, The",,,"Shaw, Bernard, 1856-1950",,New York,"Dodd, Mead",1961,1961,,,,monographic,English,text,print,2 v. 22 cm.,,,,,,,997452883406236,,61012006 /L,00361537,,,
,Contemporary American plays,,,,"Quinn, Arthur Hobson, 1875- (ed)",New York|||Chicago [etc.],C. Scribner's Sons,[c1923],[c1923]||||||1923,,,,monographic,English,text,print,"xxxiii, 382 p. 20cm.",bibliography,,American drama,,,,997470863406236,,23006739,00643195,,,
,Nine modern American plays,,,,"Clark, Barrett H. (Barrett Harper), 1890-1953 (ed)|||Davenport, William H., 1908-2006 (joint ed)",New York,Appleton-Century-Crofts,[1951],[1951]||||||1951,,,,monographic,English,text,print,"xiii, 432 p. 25 cm.",,,American drama,20th century,,,997477953406236,,51009988,00808899,,,
,8 popular plays for amateurs in prompt book style: a practical production anthology,,Eight popular plays for amateurs in prompt book style,,"Davis, Eugene C. (ed)",New York,Greenberg,[1948],[1948]||||||1948,,,,monographic,English,text,print,"x, 258 p. illus. 25 cm.",,,American drama|||English drama,20th cent,,,997494363406236,,48001958,01370284,,,
